ElemID,PointID,x,y,sigma_x,sigma_y,tau_xy,VonMises
4.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,0.000000000000000000e+00,-1.260633244117273080e+02,-1.740604056503509128e+03,-1.583367810934806585e+04,2.747621253959095338e+04
4.000000000000000000e+00,2.000000000000000000e+00,1.562500000000000000e-01,0.000000000000000000e+00,2.179164383751465266e+02,1.949272392983916006e+03,-2.471556191506100004e+04,4.284856326961853483e+04
4.000000000000000000e+00,3.000000000000000000e+00,1.833132938682636992e-01,1.562499999999999827e-02,2.932843908432492753e+03,3.232384360618799474e+04,-3.156929146412845876e+04,6.283702842824666004e+04
4.000000000000000000e+00,4.000000000000000000e+00,1.520632938682636992e-01,1.562499999999999827e-02,3.280717976277477646e+03,3.118376918862658931e+04,-2.259003072418778174e+04,4.911022178185958910e+04
5.000000000000000000e+00,0.000000000000000000e+00,1.854066469341318357e-01,7.812499999999999133e-03,2.007401158588025737e+03,1.879089577922476747e+04,-3.356401852385391248e+04,6.081970549129526626e+04
5.000000000000000000e+00,1.000000000000000000e+00,1.562500000000000000e-01,0.000000000000000000e+00,-1.683553918757770589e+02,-1.632451764022111547e+03,-2.440443532560123276e+04,4.229831912650598679e+04
5.000000000000000000e+00,2.000000000000000000e+00,1.875000000000000000e-01,0.000000000000000000e+00,1.460559561154857420e+02,1.504011880921557349e+03,-3.476347953445808525e+04,6.022924739871030033e+04
5.000000000000000000e+00,3.000000000000000000e+00,2.145632938682636992e-01,1.562499999999999827e-02,4.188090540595130733e+03,3.910761721798098006e+04,-4.287497251093416708e+04,8.305389448152678960e+04
5.000000000000000000e+00,4.000000000000000000e+00,1.833132938682636992e-01,1.562499999999999827e-02,4.167208444860989403e+03,3.719572216649768234e+04,-3.241754604980737349e+04,6.632176808453933336e+04
6.000000000000000000e+00,0.000000000000000000e+00,2.166566469341318357e-01,7.812499999999999133e-03,2.675149996652757636e+03,2.215801687958440016e+04,-4.486012751736528298e+04,8.047453785752427939e+04
6.000000000000000000e+00,1.000000000000000000e+00,1.875000000000000000e-01,0.000000000000000000e+00,-1.851924681339995402e+02,-1.504182783049991713e+03,-3.449807823039792856e+04,5.976931071666233038e+04
6.000000000000000000e+00,2.000000000000000000e+00,2.187500000000000000e-01,0.000000000000000000e+00,5.517140429546572733e+01,9.946035295545167401e+02,-4.607703259767154668e+04,7.981363420752165257e+04
6.000000000000000000e+00,3.000000000000000000e+00,2.458132938682636992e-01,1.562499999999999827e-02,5.584139822143682977e+03,4.580326876746932976e+04,-5.526191485017844388e+04,1.050475506090200215e+05
6.000000000000000000e+00,4.000000000000000000e+00,2.145632938682636992e-01,1.562499999999999827e-02,5.151907684566522221e+03,4.302313285856593575e+04,-4.353978198678765330e+04,8.569141585560909880e+04
7.000000000000000000e+00,0.000000000000000000e+00,2.479066469341318635e-01,7.812499999999999133e-03,3.418115901230077725e+03,2.546344868415076780e+04,-5.719923535656428430e+04,1.019229674434769986e+05
7.000000000000000000e+00,1.000000000000000000e+00,2.187500000000000000e-01,0.000000000000000000e+00,-2.091776122251781658e+02,-1.344618281818922469e+03,-4.586659630188727897e+04,7.945315889577085909e+04
