x,y,w,theta_x,theta_y
2.145632938682636992e-01,1.562499999999999827e-02,-6.273655730792433142e-08,-4.128368215666551209e-08,-1.332367091960963995e-08
2.458132938682636992e-01,1.562499999999999827e-02,-9.305250423676800315e-08,-5.942428384285465696e-08,-1.702341817153964394e-08
2.770632938682637270e-01,1.562499999999999827e-02,-1.310128189939789343e-07,-8.159750387602116515e-08,-2.095520385939230267e-08
3.083132938682637270e-01,1.562499999999999827e-02,-1.769847943286502262e-07,-1.079029424053088104e-07,-2.502123643734990666e-08
3.395632938682637270e-01,1.562499999999999827e-02,-2.311327129221816276e-07,-1.383325847601478264e-07,-2.911646196283493968e-08
3.708132938682637270e-01,1.562499999999999827e-02,-2.934041106945735813e-07,-1.727644747650967999e-07,-3.312942085870523988e-08
4.020632938682637270e-01,1.562499999999999827e-02,-3.635187146625244046e-07,-2.109586738989522370e-07,-3.694401228029919694e-08
4.333132938682637270e-01,1.562499999999999827e-02,-4.409616960647264567e-07,-2.525559998851517309e-07,-4.044205407323050124e-08
4.645632938682637270e-01,1.562499999999999827e-02,-5.249797402842517002e-07,-2.970761382553075131e-07,-4.350321886042731667e-08
4.958132938682637270e-01,1.562499999999999827e-02,-6.145777163101011588e-07,-3.439176830677659555e-07,-4.600675296940190785e-08
5.270632938682636714e-01,1.562499999999999827e-02,-7.085240872191268909e-07,-3.923650863541946363e-07,-4.783700050412735528e-08
5.583132938682636714e-01,1.562499999999999827e-02,-8.053609569343790710e-07,-4.415947664671820837e-07,-4.888404059339013130e-08
5.895632938682636714e-01,1.562499999999999827e-02,-9.034145536238028799e-07,-4.906783257750582905e-07,-4.904081905923699844e-08
6.208132938682636714e-01,1.562499999999999827e-02,-1.000810106880856707e-06,-5.385962139384669172e-07,-4.821216255400707454e-08
6.520632938682636714e-01,1.562499999999999827e-02,-1.095480513775301613e-06,-5.842388096230324539e-07,-4.630899040873360936e-08
6.833132938682636714e-01,1.562499999999999827e-02,-1.185168487272456864e-06,-6.263893255575667160e-07,-4.322019733091096947e-08
7.145632938682636714e-01,1.562499999999999827e-02,-1.267482656725276743e-06,-6.638057510570110399e-07,-3.889765392774577103e-08
7.458132938682636714e-01,1.562499999999999827e-02,-1.339850331388810576e-06,-6.951543002381512096e-07,-3.329881955309670330e-08
7.770632938682636714e-01,1.562499999999999827e-02,-1.399271506348412464e-06,-7.186202685663255186e-07,-2.598429948277219767e-08
8.083132938682636714e-01,1.562499999999999827e-02,-1.442797050175450244e-06,-7.328279880012850404e-07,-1.712505268773422317e-08
8.395632938682636714e-01,1.562499999999999827e-02,-1.467419132884623920e-06,-7.368736363500806901e-07,-7.469122618442072771e-09
8.708132938682636714e-01,1.562499999999999827e-02,-1.467537339320993888e-06,-7.257184836142469246e-07,7.049585616746055293e-09
9.020632938682636714e-01,1.562499999999999827e-02,-1.440914350855561305e-06,-6.991072800476950997e-07,2.448518978608834891e-08
9.333132938682636714e-01,1.562499999999999827e-02,-1.387871840957787167e-06,-6.626891726576526072e-07,3.063110778394442042e-08
9.645632938682636714e-01,1.562499999999999827e-02,-1.212139197787877859e-06,-4.935895927109457392e-07,1.296090253532179973e-07
9.958132938682636714e-01,1.562499999999999827e-02,-8.835519234901346436e-07,-2.473255838101492649e-07,2.473255838098432742e-07
1.027063293868263782e+00,1.562499999999999827e-02,0.000000000000000000e+00,9.189461655597053608e-08,6.761402498962127073e-07
5.412658773652741923e-02,3.124999999999999653e-02,0.000000000000000000e+00,-4.494133050297930847e-11,-9.920529143388390450e-10
